country_code,country_name_zh,row_count,valid_rows,valid_rate,indicator_count,source_count,frequency_count,start_year,end_year
US,美国,6619,6619,1.0,57,5,3,1980,2026
CN,中国,4349,4349,1.0,46,5,3,1980,2026
DE,德国,4794,4794,1.0,43,5,4,1980,2026
TR,土耳其,4319,4319,1.0,41,4,3,1980,2026
IN,印度,4306,4306,1.0,41,4,3,1980,2026
ZA,南非,4306,4306,1.0,41,4,3,1980,2026
GB,英国,4396,4396,1.0,40,4,3,1980,2026
JP,日本,4299,4299,1.0,40,4,3,1980,2026
BR,巴西,4279,4279,1.0,40,4,3,1980,2026
IT,意大利,1678,1678,1.0,40,4,3,1980,2026
ES,西班牙,1710,1710,1.0,39,4,3,1980,2026
FR,法国,1700,1700,1.0,39,4,3,1980,2026
SA,沙特阿拉伯,1181,1181,1.0,38,3,2,1980,2026
MX,墨西哥,4237,4237,1.0,37,4,3,1980,2026
AR,阿根廷,1141,1141,1.0,37,3,2,1980,2026
VN,越南,984,984,1.0,36,2,1,1980,2026
ID,印度尼西亚,1110,1110,1.0,32,3,2,1980,2026
EA,欧元区,9671,9671,1.0,7,4,4,2015,2026
