country_code,BROAD_MONEY_GDP_A,CN_CPI_YOY_M,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,CN_PPI_YOY_M,CPI_YOY_A,CPI_YOY_M,CURRENT_ACCOUNT_GDP_A,DOMESTIC_CREDIT_PRIVATE_GDP_A,ELECTRIC_POWER_CONSUMPTION_A,ENERGY_USE_PER_CAPITA_A,EUR_USD_EXCHANGE_RATE_D,EXCHANGE_RATE_USD_A,EXCHANGE_RATE_USD_D,EXCHANGE_RATE_USD_M,EXPORTS_GROWTH_A,EXPORTS_USD_A,FDI_NET_INFLOWS_GDP_A,GDP_CURRENT_LCU_A,GDP_DEFLATOR_GROWTH_A,GDP_DEFLATOR_INDEX_A,GDP_NOMINAL_USD_A,GDP_PER_CAPITA_USD_A,GDP_REAL_GROWTH_YOY_A,GDP_REAL_GROWTH_YOY_Q,GDP_REAL_LCU_A,GNI_CURRENT_USD_A,GNI_PER_CAPITA_USD_A,GOV_DEBT_GDP_A,GOV_EXPENSE_GDP_A,GOV_NET_LENDING_GDP_A,GOV_REVENUE_GDP_A,GROSS_CAPITAL_FORMATION_GDP_A,GROSS_SAVINGS_GDP_A,IMPORTS_GROWTH_A,IMPORTS_USD_A,INDUSTRIAL_OUTPUT_YOY_A,INDUSTRIAL_OUTPUT_YOY_M,INDUSTRIAL_PRODUCTION_INDEX_M,INTERNET_USERS_RATE_A,LIFE_EXPECTANCY_A,MILITARY_EXPENDITURE_GDP_A,POPULATION_GROWTH_A,POPULATION_TOTAL_A,PPI_YOY_A,PPI_YOY_M,RESERVES_USD_A,SCHOOL_ENROLLMENT_TERTIARY_A,TAX_REVENUE_GDP_A,TRADE_GDP_A,UNEMPLOYMENT_RATE_A,UNEMPLOYMENT_RATE_M,URBAN_POPULATION_RATE_A,US_10Y_TREASURY_RATE_M,US_2Y_TREASURY_RATE_M,US_CORE_CPI_INDEX_M,US_CPI_INDEX_M,US_FED_FUNDS_RATE_M,US_HOUSING_STARTS_M,US_INDUSTRIAL_PRODUCTION_M,US_M2_MONEY_STOCK_M,US_NONFARM_PAYROLLS_M,US_PPI_INDEX_M,US_RETAIL_SALES_M,US_UNEMPLOYMENT_RATE_M
AR,10,0,0,0,38,101,62,9,10,10,0,0,0,0,10,10,10,62,10,62,62,62,62,0,62,10,10,40,48,49,49,62,62,10,10,0,0,0,10,10,10,10,62,0,0,10,9,10,10,63,0,10,0,0,0,0,0,0,0,0,0,0,0,0
BR,10,0,0,0,62,136,62,10,10,10,0,12,2921,138,10,10,10,56,10,55,62,62,62,0,62,10,10,42,40,41,41,62,62,10,10,0,0,0,10,10,10,10,62,0,0,10,9,10,10,52,0,10,0,0,0,0,0,0,0,0,0,0,0,0
CN,10,12,11,12,62,148,45,10,9,9,0,12,2921,138,0,10,10,62,10,62,62,62,62,0,62,10,10,37,50,50,60,62,62,0,10,1,11,0,11,10,10,10,62,1,12,10,10,10,10,26,0,10,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,0,0,0,62,268,62,9,10,10,0,12,2921,138,10,10,10,62,10,62,62,62,62,46,62,10,10,41,49,51,51,62,62,10,10,0,0,138,10,10,10,10,62,0,0,10,10,10,10,63,138,10,0,0,0,0,0,0,0,0,0,0,0,0
EA,0,0,0,0,0,264,0,0,0,0,2923,24,5844,276,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,0,0,0,0,62,264,62,10,10,10,0,0,0,0,10,10,10,62,10,62,62,62,62,46,62,10,10,62,61,62,62,62,62,10,10,0,0,138,10,10,10,10,62,0,0,10,10,10,10,63,138,10,0,0,0,0,0,0,0,0,0,0,0,0
FR,0,0,0,0,62,264,62,10,10,10,0,0,0,0,10,10,10,62,10,62,62,62,62,46,62,10,10,52,61,62,62,62,62,10,10,0,0,138,10,10,10,10,62,0,0,10,10,10,10,63,138,10,0,0,0,0,0,0,0,0,0,0,0,0
GB,10,0,0,0,62,136,62,10,10,10,0,12,2921,138,10,10,10,62,10,62,62,62,62,0,62,10,10,62,61,62,62,62,62,10,10,0,0,0,10,10,10,10,62,0,0,10,9,10,10,63,0,10,0,0,0,0,0,0,0,0,0,0,0,0
ID,10,0,0,0,62,136,62,10,9,9,0,0,0,0,10,10,10,62,10,62,62,62,62,0,62,10,10,32,39,39,51,62,62,10,10,0,0,0,10,10,10,10,62,0,0,10,9,0,10,59,0,10,0,0,0,0,0,0,0,0,0,0,0,0
IN,7,0,0,0,62,136,62,10,9,9,0,12,2921,138,10,10,10,62,10,62,62,62,62,0,62,10,10,45,49,49,49,62,62,10,10,0,0,0,11,10,10,10,62,0,0,10,11,5,10,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0
