country_code,indicator_code,date,value,source_organization,source_dataset,source_status,release_status,observation_type
AR,CPI_YOY_A,2027,15.667,IMF,World Economic Outlook,official,final,forecast
AR,CPI_YOY_A,2028,9.554,IMF,World Economic Outlook,official,final,forecast
AR,CPI_YOY_A,2029,7.5,IMF,World Economic Outlook,official,final,forecast
AR,CPI_YOY_A,2030,7.5,IMF,World Economic Outlook,official,final,forecast
AR,CPI_YOY_A,2031,7.5,IMF,World Economic Outlook,official,final,forecast
AR,CURRENT_ACCOUNT_GDP_A,2027,-0.578,IMF,World Economic Outlook,official,final,forecast
AR,CURRENT_ACCOUNT_GDP_A,2028,-0.607,IMF,World Economic Outlook,official,final,forecast
AR,CURRENT_ACCOUNT_GDP_A,2029,-0.468,IMF,World Economic Outlook,official,final,forecast
AR,CURRENT_ACCOUNT_GDP_A,2030,-0.388,IMF,World Economic Outlook,official,final,forecast
AR,CURRENT_ACCOUNT_GDP_A,2031,-0.337,IMF,World Economic Outlook,official,final,forecast
AR,GDP_CURRENT_LCU_A,2027,1400412606000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GDP_CURRENT_LCU_A,2028,1592133224000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GDP_CURRENT_LCU_A,2029,1771639906000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GDP_CURRENT_LCU_A,2030,1964690785000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GDP_CURRENT_LCU_A,2031,2176096937000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GDP_DEFLATOR_INDEX_A,2027,176031.616,IMF,World Economic Outlook,official,final,forecast
AR,GDP_DEFLATOR_INDEX_A,2028,192863.961,IMF,World Economic Outlook,official,final,forecast
AR,GDP_DEFLATOR_INDEX_A,2029,207277.072,IMF,World Economic Outlook,official,final,forecast
AR,GDP_DEFLATOR_INDEX_A,2030,222842.225,IMF,World Economic Outlook,official,final,forecast
AR,GDP_DEFLATOR_INDEX_A,2031,239539.066,IMF,World Economic Outlook,official,final,forecast
AR,GDP_NOMINAL_USD_A,2027,703668000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GDP_NOMINAL_USD_A,2028,746843000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GDP_NOMINAL_USD_A,2029,789967000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GDP_NOMINAL_USD_A,2030,833284000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GDP_NOMINAL_USD_A,2031,878051000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GDP_PER_CAPITA_USD_A,2027,14530.185,IMF,World Economic Outlook,official,final,forecast
AR,GDP_PER_CAPITA_USD_A,2028,15269.025,IMF,World Economic Outlook,official,final,forecast
AR,GDP_PER_CAPITA_USD_A,2029,15990.781,IMF,World Economic Outlook,official,final,forecast
AR,GDP_PER_CAPITA_USD_A,2030,16700.625,IMF,World Economic Outlook,official,final,forecast
AR,GDP_PER_CAPITA_USD_A,2031,17423.59,IMF,World Economic Outlook,official,final,forecast
AR,GDP_REAL_GROWTH_YOY_A,2027,4.003,IMF,World Economic Outlook,official,final,forecast
AR,GDP_REAL_GROWTH_YOY_A,2028,3.768,IMF,World Economic Outlook,official,final,forecast
AR,GDP_REAL_GROWTH_YOY_A,2029,3.537,IMF,World Economic Outlook,official,final,forecast
AR,GDP_REAL_GROWTH_YOY_A,2030,3.151,IMF,World Economic Outlook,official,final,forecast
AR,GDP_REAL_GROWTH_YOY_A,2031,3.04,IMF,World Economic Outlook,official,final,forecast
AR,GDP_REAL_LCU_A,2027,795546000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GDP_REAL_LCU_A,2028,825521000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GDP_REAL_LCU_A,2029,854721000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GDP_REAL_LCU_A,2030,881651000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GDP_REAL_LCU_A,2031,908452000000.0,IMF,World Economic Outlook,official,final,forecast
AR,GOV_DEBT_GDP_A,2027,68.062,IMF,World Economic Outlook,official,final,forecast
AR,GOV_DEBT_GDP_A,2028,63.035,IMF,World Economic Outlook,official,final,forecast
AR,GOV_DEBT_GDP_A,2029,59.32,IMF,World Economic Outlook,official,final,forecast
AR,GOV_DEBT_GDP_A,2030,55.366,IMF,World Economic Outlook,official,final,forecast
AR,GOV_DEBT_GDP_A,2031,52.158,IMF,World Economic Outlook,official,final,forecast
AR,GOV_EXPENSE_GDP_A,2027,31.817,IMF,World Economic Outlook,official,final,forecast
AR,GOV_EXPENSE_GDP_A,2028,31.949,IMF,World Economic Outlook,official,final,forecast
AR,GOV_EXPENSE_GDP_A,2029,32.118,IMF,World Economic Outlook,official,final,forecast
AR,GOV_EXPENSE_GDP_A,2030,32.142,IMF,World Economic Outlook,official,final,forecast
AR,GOV_EXPENSE_GDP_A,2031,32.124,IMF,World Economic Outlook,official,final,forecast
AR,GOV_NET_LENDING_GDP_A,2027,0.374,IMF,World Economic Outlook,official,final,forecast
AR,GOV_NET_LENDING_GDP_A,2028,0.28,IMF,World Economic Outlook,official,final,forecast
AR,GOV_NET_LENDING_GDP_A,2029,0.824,IMF,World Economic Outlook,official,final,forecast
AR,GOV_NET_LENDING_GDP_A,2030,1.144,IMF,World Economic Outlook,official,final,forecast
AR,GOV_NET_LENDING_GDP_A,2031,1.28,IMF,World Economic Outlook,official,final,forecast
AR,GOV_REVENUE_GDP_A,2027,32.19,IMF,World Economic Outlook,official,final,forecast
AR,GOV_REVENUE_GDP_A,2028,32.229,IMF,World Economic Outlook,official,final,forecast
AR,GOV_REVENUE_GDP_A,2029,32.942,IMF,World Economic Outlook,official,final,forecast
AR,GOV_REVENUE_GDP_A,2030,33.287,IMF,World Economic Outlook,official,final,forecast
AR,GOV_REVENUE_GDP_A,2031,33.404,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_CAPITAL_FORMATION_GDP_A,2027,17.551,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_CAPITAL_FORMATION_GDP_A,2028,18.659,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_CAPITAL_FORMATION_GDP_A,2029,19.465,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_CAPITAL_FORMATION_GDP_A,2030,20.043,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_CAPITAL_FORMATION_GDP_A,2031,20.554,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_SAVINGS_GDP_A,2027,16.973,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_SAVINGS_GDP_A,2028,18.052,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_SAVINGS_GDP_A,2029,18.997,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_SAVINGS_GDP_A,2030,19.655,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_SAVINGS_GDP_A,2031,20.218,IMF,World Economic Outlook,official,final,forecast
AR,POPULATION_TOTAL_A,2027,48428000.0,IMF,World Economic Outlook,official,final,forecast
AR,POPULATION_TOTAL_A,2028,48912000.0,IMF,World Economic Outlook,official,final,forecast
AR,POPULATION_TOTAL_A,2029,49401000.0,IMF,World Economic Outlook,official,final,forecast
AR,POPULATION_TOTAL_A,2030,49895000.0,IMF,World Economic Outlook,official,final,forecast
