indicator_code,indicator_name_zh,indicator_name_en,unit,frequency,seasonal_adjustment,calculation,source_count,domain,concept,measure,unit_family,price_basis,stock_flow,currency,frequency_code,seasonal_adjustment_code,calculation_code,semantic_signature,definition_status,standard_version
GDP_NOMINAL_USD_A,名义GDP,Nominal GDP,current USD,A,NSA,level,2,national_accounts,gdp,level,currency,current_price,not_specified,USD,A,NSA,level,national_accounts|gdp|level|currency|current_price|not_specified|USD|A|NSA,registered,2.1.0
GDP_REAL_GROWTH_YOY_A,实际GDP增速,Real GDP Growth,%,A,NSA,YoY,2,national_accounts,gdp,year_on_year_growth,percent,constant_price,not_specified,NA,A,NSA,YoY,national_accounts|gdp|year_on_year_growth|percent|constant_price|not_specified|NA|A|NSA,registered,2.1.0
GDP_PER_CAPITA_USD_A,人均GDP,GDP per capita,current USD,A,NSA,level,2,national_accounts,gdp,level,currency,current_price,not_specified,USD,A,NSA,level,national_accounts|gdp|level|currency|current_price|not_specified|USD|A|NSA,registered,2.1.0
CPI_YOY_A,居民消费价格指数同比,Consumer Price Index YoY,%,A,NSA,YoY,4,prices,cpi,year_on_year_growth,percent,not_applicable,not_specified,NA,A,NSA,YoY,prices|cpi|year_on_year_growth|percent|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
UNEMPLOYMENT_RATE_A,失业率,Unemployment Rate,% of labor force,A,NSA,level,3,labour,unemployment,rate,percent,not_applicable,not_specified,NA,A,NSA,level,labour|unemployment|rate|percent|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
EXPORTS_USD_A,货物和服务出口,Exports of goods and services,current USD,A,NSA,level,2,external_sector,exports,level,currency,current_price,flow,USD,A,NSA,level,external_sector|exports|level|currency|current_price|flow|USD|A|NSA,registered,2.1.0
IMPORTS_USD_A,货物和服务进口,Imports of goods and services,current USD,A,NSA,level,2,external_sector,imports,level,currency,current_price,flow,USD,A,NSA,level,external_sector|imports|level|currency|current_price|flow|USD|A|NSA,registered,2.1.0
RESERVES_USD_A,外汇储备,Total reserves,current USD,A,NSA,level,1,external_sector,reserves,level,currency,current_price,stock,USD,A,NSA,level,external_sector|reserves|level|currency|current_price|stock|USD|A|NSA,registered,2.1.0
GOV_DEBT_GDP_A,政府债务占GDP比重,"Central government debt, total",% of GDP,A,NSA,level,2,national_accounts,gdp,level,ratio_gdp,not_applicable,stock,NA,A,NSA,level,national_accounts|gdp|level|ratio_gdp|not_applicable|stock|NA|A|NSA,registered,2.1.0
CURRENT_ACCOUNT_GDP_A,经常账户余额占GDP比重,Current account balance,% of GDP,A,NSA,level,2,national_accounts,gdp,level,ratio_gdp,current_price,not_specified,NA,A,NSA,level,national_accounts|gdp|level|ratio_gdp|current_price|not_specified|NA|A|NSA,registered,2.1.0
CPI_YOY_M,居民消费价格指数同比,Consumer Price Index YoY,%,M,NSA,YoY,4,prices,cpi,year_on_year_growth,percent,not_applicable,not_specified,NA,M,NSA,YoY,prices|cpi|year_on_year_growth|percent|not_applicable|not_specified|NA|M|NSA,registered,2.1.0
UNEMPLOYMENT_RATE_M,月度失业率,Monthly unemployment rate,%,M,SA,level,1,labour,unemployment,rate,percent,not_applicable,not_specified,NA,M,SA,level,labour|unemployment|rate|percent|not_applicable|not_specified|NA|M|SA,registered,2.1.0
INDUSTRIAL_PRODUCTION_INDEX_M,工业生产指数,Industrial production index,index (2021=100),M,SCA,level,1,industry_consumption,industrial_production,level,index,not_applicable,not_specified,NA,M,SCA,level,industry_consumption|industrial_production|level|index|not_applicable|not_specified|NA|M|SCA,registered,2.1.0
GDP_REAL_GROWTH_YOY_Q,季度实际GDP同比增速,Quarterly real GDP growth YoY,%,Q,SCA,YoY,1,national_accounts,gdp,year_on_year_growth,percent,constant_price,not_specified,NA,Q,SCA,YoY,national_accounts|gdp|year_on_year_growth|percent|constant_price|not_specified|NA|Q|SCA,registered,2.1.0
EUR_USD_EXCHANGE_RATE_D,欧元兑美元参考汇率,Euro foreign exchange reference rate: USD,USD per EUR,D,NSA,level,1,other,exchange_rate,level,exchange_rate,not_applicable,not_specified,USD,D,NSA,level,other|exchange_rate|level|exchange_rate|not_applicable|not_specified|USD|D|NSA,registered,2.1.0
EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,local currency per USD,D,NSA,level,2,external_sector,exchange_rate,level,exchange_rate,not_applicable,not_specified,USD,D,NSA,level,external_sector|exchange_rate|level|exchange_rate|not_applicable|not_specified|USD|D|NSA,registered,2.1.0
GDP_CURRENT_LCU_A,本币计价名义GDP,Nominal GDP in local currency,current LCU,A,NSA,level,2,national_accounts,gdp,level,currency,current_price,not_specified,LCU,A,NSA,level,national_accounts|gdp|level|currency|current_price|not_specified|LCU|A|NSA,registered,2.1.0
GDP_REAL_LCU_A,本币计价实际GDP,Real GDP in local currency,constant LCU,A,NSA,level,2,national_accounts,gdp,level,currency,constant_price,not_specified,LCU,A,NSA,level,national_accounts|gdp|level|currency|constant_price|not_specified|LCU|A|NSA,registered,2.1.0
GDP_DEFLATOR_INDEX_A,GDP平减指数,GDP deflator index,index,A,NSA,level,2,national_accounts,gdp,level,index,not_applicable,not_specified,NA,A,NSA,level,national_accounts|gdp|level|index|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
GROSS_SAVINGS_GDP_A,国民总储蓄占GDP比重,Gross national savings as percent of GDP,% of GDP,A,NSA,level,2,national_accounts,gdp,level,ratio_gdp,not_applicable,not_specified,NA,A,NSA,level,national_accounts|gdp|level|ratio_gdp|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
GROSS_CAPITAL_FORMATION_GDP_A,资本形成总额占GDP比重,Gross capital formation as percent of GDP,% of GDP,A,NSA,level,2,national_accounts,gdp,level,ratio_gdp,not_applicable,not_specified,NA,A,NSA,level,national_accounts|gdp|level|ratio_gdp|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
GOV_REVENUE_GDP_A,政府收入占GDP比重,General government revenue as percent of GDP,% of GDP,A,NSA,level,2,national_accounts,gdp,level,ratio_gdp,not_applicable,flow,NA,A,NSA,level,national_accounts|gdp|level|ratio_gdp|not_applicable|flow|NA|A|NSA,registered,2.1.0
GOV_EXPENSE_GDP_A,政府支出占GDP比重,General government expense as percent of GDP,% of GDP,A,NSA,level,2,national_accounts,gdp,level,ratio_gdp,not_applicable,flow,NA,A,NSA,level,national_accounts|gdp|level|ratio_gdp|not_applicable|flow|NA|A|NSA,registered,2.1.0
GOV_NET_LENDING_GDP_A,政府净借贷占GDP比重,General government net lending or borrowing as percent of GDP,% of GDP,A,NSA,level,2,national_accounts,gdp,level,ratio_gdp,not_applicable,not_specified,NA,A,NSA,level,national_accounts|gdp|level|ratio_gdp|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
POPULATION_TOTAL_A,总人口,"Population, total",persons,A,NSA,level,2,population_social,population,level,persons,not_applicable,stock,NA,A,NSA,level,population_social|population|level|persons|not_applicable|stock|NA|A|NSA,registered,2.1.0
