source,source_dataset,source_indicator_code,indicator_code,standard_unit,standard_frequency,standard_seasonal_adjustment,standard_calculation,transform_rule,mapping_status,mapping_version,reviewed_by,semantic_signature
World Bank,World Development Indicators,NY.GDP.MKTP.CD,GDP_NOMINAL_USD_A,current USD,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|currency|current_price|not_specified|USD|A|NSA
IMF,World Economic Outlook,NGDPD,GDP_NOMINAL_USD_A,current USD,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|currency|current_price|not_specified|USD|A|NSA
World Bank,World Development Indicators,NY.GDP.MKTP.KD.ZG,GDP_REAL_GROWTH_YOY_A,%,A,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|year_on_year_growth|percent|constant_price|not_specified|NA|A|NSA
IMF,World Economic Outlook,NGDP_RPCH,GDP_REAL_GROWTH_YOY_A,%,A,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|year_on_year_growth|percent|constant_price|not_specified|NA|A|NSA
World Bank,World Development Indicators,NY.GDP.PCAP.CD,GDP_PER_CAPITA_USD_A,current USD,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|currency|current_price|not_specified|USD|A|NSA
IMF,World Economic Outlook,NGDPDPC,GDP_PER_CAPITA_USD_A,current USD,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|currency|current_price|not_specified|USD|A|NSA
World Bank,World Development Indicators,FP.CPI.TOTL.ZG,CPI_YOY_A,%,A,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,prices|cpi|year_on_year_growth|percent|not_applicable|not_specified|NA|A|NSA
IMF,World Economic Outlook,PCPIPCH,CPI_YOY_A,%,A,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,prices|cpi|year_on_year_growth|percent|not_applicable|not_specified|NA|A|NSA
FRED,Federal Reserve Economic Data (annualized from CPIAUCSL.YOY),CPIAUCSL.YOY.AAVG,CPI_YOY_A,%,A,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,prices|cpi|year_on_year_growth|percent|not_applicable|not_specified|NA|A|NSA
National Bureau of Statistics of China,National Bureau of Statistics monthly data (annualized),NBS.CPI.YOY.M.ALIGNED.AAVG,CPI_YOY_A,%,A,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,prices|cpi|year_on_year_growth|percent|not_applicable|not_specified|NA|A|NSA
World Bank,World Development Indicators,SL.UEM.TOTL.ZS,UNEMPLOYMENT_RATE_A,% of labor force,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,labour|unemployment|rate|percent|not_applicable|not_specified|NA|A|NSA
IMF,World Economic Outlook,LUR,UNEMPLOYMENT_RATE_A,% of labor force,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,labour|unemployment|rate|percent|not_applicable|not_specified|NA|A|NSA
FRED,Federal Reserve Economic Data (annual average from UNRATE),UNRATE.AAVG,UNEMPLOYMENT_RATE_A,% of labor force,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,labour|unemployment|rate|percent|not_applicable|not_specified|NA|A|NSA
World Bank,World Development Indicators,NE.EXP.GNFS.CD,EXPORTS_USD_A,current USD,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,external_sector|exports|level|currency|current_price|flow|USD|A|NSA
